AMPID,EXTNAME,GAIN,GAIN_ERR,RDNOISE,RDNOISE_ERR,SATURAT,LINMAX,READDIR,STATUS,CAMPAIGN,DATE,CONFIG,RN_ADU,OVSC_RMS_ADU,BIAS_ADU,BIAS_DRIFT_ADU,PTC_CURV_A,PTC_NPTS,PTC_RESID_PCT,LIN_RATE_ADU_S,LIN_PEDESTAL_ADU,LIN_A1,LIN_A2,LIN_RANGE_LO,LIN_RANGE_HI,LIN_NOTE,CTE_SERIAL,PRNU_PCT,GAIN_STAB_PCT,GAIN_HDR,RDNOISE_HDR
29,K05B,1.6761,0.0077,7.029,0.0,63512,56885,na,FLOOD(-14.12),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34431.0,4.0,2.527e-06,12,0.52,2272.6,-225.5,1.032e-08,-2.430e-13,39773,56885,ramp-limited,0.9999852,0.998,0.874,1.7,7.5
30,K06B,1.6724,0.0072,7.013,0.0,64071,57177,na,FLOOD(-8.82),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34384.5,2.0,1.955e-06,12,0.48,2311.7,-287.8,8.598e-09,-1.894e-13,39770,57177,ramp-limited,0.9999859,1.219,0.871,1.6,7.3
31,K07B,1.6153,0.0063,8.467,0.324,64206,57757,na,FLOOD(-17.15),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,5.242,4.448,34484.5,3.0,2.698e-06,11,0.43,2354.6,-222.7,1.043e-08,-2.389e-13,40027,57757,ramp-limited,0.9999856,1.053,0.781,1.6,7.6
32,K08B,1.6621,0.0068,8.712,0.0,63698,57319,na,FLOOD(-7.41),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,5.242,4.448,34447.0,3.0,2.291e-06,11,0.46,2318.3,-268.2,9.623e-09,-2.236e-13,39863,57319,ramp-limited,0.9999866,0.941,0.884,1.6,8.1
33,N01T,1.7819,0.0126,7.472,0.0,-1,54141,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,3.706,34380.0,11.0,1.370e-06,12,0.79,2006.8,-277.5,9.074e-09,-2.335e-13,39033,54141,ramp-limited,1.0000000,0.823,0.925,1.7,7.1
34,N02T,1.7077,0.0077,7.161,0.0,-1,54777,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34453.0,40.0,1.995e-06,12,0.5,2059.1,-227.8,1.090e-08,-2.897e-13,39274,54777,ramp-limited,1.0000000,0.94,0.591,1.7,6.9
35,N03T,1.746,0.0104,7.322,0.0,-1,54628,na,FLOOD(5.68),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34506.0,29.0,1.715e-06,12,0.67,2050.1,-327.2,5.653e-09,-1.440e-13,39227,54628,ramp-limited,1.0000000,1.008,1.261,1.7,8.5
36,N04T,1.7251,0.0077,7.234,0.0,-1,55002,na,FLOOD(6.43),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34464.5,8.0,1.991e-06,12,0.5,2081.6,-243.8,9.594e-09,-2.390e-13,39329,55002,ramp-limited,1.0000000,0.885,0.855,1.7,8.0
37,N05T,1.6249,0.0072,6.814,0.0,62656,56287,na,FLOOD(-14.7),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34448.5,16.0,2.556e-06,12,0.5,2210.2,-216.4,1.084e-08,-2.659e-13,39646,56287,ramp-limited,0.9999847,0.817,0.967,1.6,7.5
38,N06T,1.6646,0.0082,6.98,0.0,62612,56262,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34439.5,17.0,2.353e-06,12,0.56,2209.8,-231.7,1.022e-08,-2.499e-13,39624,56262,ramp-limited,0.9999850,0.821,0.937,1.7,7.6
39,N07T,1.6359,0.0088,6.86,0.0,63783,57097,na,FLOOD(-8.71),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34515.5,20.0,2.458e-06,12,0.61,2285.8,-231.9,9.982e-09,-2.322e-13,39886,57097,ramp-limited,0.9999852,0.951,0.908,1.6,7.5
40,N08T,1.6844,0.0095,7.063,0.0,63918,57164,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,3.706,34425.5,33.0,1.926e-06,12,0.63,2305.2,-273.4,9.048e-09,-2.091e-13,39808,57164,ramp-limited,0.9999865,0.94,0.833,1.6,7.2
41,N01B,1.7766,0.0072,7.45,0.0,-1,53790,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,3.706,34380.0,10.0,1.814e-06,13,0.48,1971.3,-273.6,9.361e-09,-2.491e-13,38949,53790,ramp-limited,1.0000000,0.826,0.935,1.7,7.1
42,N02B,1.7057,0.0074,7.153,0.0,-1,54533,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,3.706,34454.0,38.0,2.253e-06,12,0.49,2034.8,-229.2,1.113e-08,-3.025e-13,39213,54533,ramp-limited,1.0000000,0.812,0.83,1.7,6.9
