23:00:36:16 1.95 1.85 2.16 2.17 -5.857 17.2 1.20
23:00:37:02 1.87 1.91 2.23 2.22 -5.857 17.1 1.20
23:00:37:48 1.96 2.26 2.20 2.61 -5.857 17.1 1.21
23:00:39:26 1.89 2.25 2.18 2.09 -5.851 17.2 1.21
23:00:40:13 1.94 2.03 2.10 2.01 -5.851 17.1 1.21
23:00:40:58 1.90 1.93 2.09 2.13 -5.851 17.1 1.21
23:00:42:36 1.97 1.95 2.07 1.92 -5.851 17.1 1.21
23:00:43:22 2.12 2.50 2.63 2.71 -5.851 17.1 1.21
23:00:44:08 2.04 2.28 2.33 2.52 -5.851 17.1 1.22
23:00:45:34 2.14 2.56 2.20 2.27 -5.851 17.1 1.22
23:00:46:19 2.08 2.17 2.15 2.26 -5.851 17.0 1.22
23:00:47:05 2.19 2.30 2.01 1.86 -5.851 17.0 1.22
23:00:48:44 2.09 1.28 2.41 2.33 -5.842 17.0 1.22
23:00:49:31 2.10 2.55 2.31 2.63 -5.842 17.0 1.23
23:00:50:18 2.26 2.47 2.46 2.46 -5.844 17.0 1.23
23:00:51:54 2.20 2.40 2.63 2.52 -5.844 16.9 1.23
23:00:52:41 2.06 1.51 2.26 2.29 -5.844 16.9 1.23
23:00:53:28 2.21 2.31 2.19 2.12 -5.844 16.9 1.23
23:00:54:53 2.17 1.64 2.57 2.16 -5.837 16.9 1.24
23:00:55:38 2.17 2.26 2.42 2.48 -5.837 16.8 1.24
23:00:56:24 2.39 2.90 2.54 2.44 -5.837 16.8 1.24
23:00:57:53 2.17 1.30 2.55 2.49 -5.837 16.8 1.24
23:00:58:40 2.28 2.32 2.37 2.47 -5.831 16.8 1.24
23:00:59:27 2.08 2.23 2.28 2.22 -5.831 16.8 1.25
23:01:01:05 2.14 2.20 2.27 1.91 -5.831 16.8 1.25
23:01:01:51 2.57 2.70 2.66 2.57 -5.831 16.8 1.25
23:01:02:38 2.37 2.21 2.42 2.55 -5.831 16.7 1.25
23:01:04:16 2.23 2.43 2.62 2.39 -5.824 16.7 1.26
23:01:05:02 2.18 2.14 2.28 2.20 -5.824 16.7 1.26
23:01:05:48 2.07 2.17 2.34 2.09 -5.824 16.6 1.26
23:01:07:24 2.26 2.23 2.60 1.87 -5.824 16.6 1.26
23:01:08:10 2.31 3.33 2.60 2.75 -5.824 16.6 1.27
23:01:08:57 2.21 2.06 2.04 2.23 -5.817 16.6 1.27
23:01:10:23 2.07 2.26 2.21 2.35 -5.817 16.6 1.27
23:01:11:09 2.15 2.31 2.34 2.05 -5.817 16.6 1.27
23:01:11:55 2.20 2.34 2.32 2.29 -5.817 16.5 1.28
23:01:13:33 2.22 2.38 2.46 2.30 -5.817 16.5 1.28
23:01:14:19 2.23 2.38 2.57 2.38 -5.811 16.5 1.28
23:01:15:07 2.30 2.41 2.04 2.22 -5.811 16.6 1.28
23:01:16:43 2.26 2.99 2.68 2.26 -5.817 16.5 1.29
23:01:17:29 2.12 2.27 2.32 2.16 -5.817 16.5 1.29
23:01:18:14 2.03 2.27 2.41 2.23 -5.817 16.5 1.29
23:01:19:55 2.21 2.33 2.24 2.05 -5.811 16.4 1.30
23:01:20:40 2.20 2.30 2.29 2.39 -5.811 16.4 1.30
23:01:21:27 2.31 2.18 2.37 2.28 -5.811 16.4 1.30
23:01:23:07 2.39 3.69 2.70 2.52 -5.804 16.4 1.31
23:01:23:54 2.14 2.33 2.24 2.22 -5.804 16.4 1.31
23:01:24:39 2.18 2.14 2.50 2.28 -5.804 16.3 1.31
23:01:26:06 2.52 2.17 2.44 2.76 -5.804 16.3 1.32
23:01:26:52 2.32 2.26 2.44 2.33 -5.797 16.3 1.32
23:01:27:38 2.23 2.58 2.26 2.26 -5.797 16.3 1.32
23:01:29:16 2.37 2.38 2.53 2.62 -5.797 16.3 1.33
